id,category,variant_name,type,pattern,scenario,impact,example
2215,Arithmetic / Math errors,Arithmetic / Math errors Variant 415,Unchecked cast,No checked math library used,Arithmetic / Math errors variant #415: Unchecked cast caused by No checked math library used. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2216,Arithmetic / Math errors,Arithmetic / Math errors Variant 416,Unchecked cast,Interest calculation overflows at high balances,Arithmetic / Math errors variant #416: Unchecked cast caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2217,Arithmetic / Math errors,Arithmetic / Math errors Variant 417,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #417: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2218,Arithmetic / Math errors,Arithmetic / Math errors Variant 418,Unchecked cast,Interest calculation overflows at high balances,Arithmetic / Math errors variant #418: Unchecked cast caused by Interest calculation overflows at high balances. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2219,Arithmetic / Math errors,Arithmetic / Math errors Variant 419,Overflow,Division result truncated to zero,Arithmetic / Math errors variant #419: Overflow caused by Division result truncated to zero. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2220,Arithmetic / Math errors,Arithmetic / Math errors Variant 420,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #420: Underflow caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2221,Arithmetic / Math errors,Arithmetic / Math errors Variant 421,Underflow,Division result truncated to zero,Arithmetic / Math errors variant #421: Underflow caused by Division result truncated to zero. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2222,Arithmetic / Math errors,Arithmetic / Math errors Variant 422,Precision truncation,No checked math library used,Arithmetic / Math errors variant #422: Precision truncation caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,Reward per share exceeds uint128 limit.
2223,Arithmetic / Math errors,Arithmetic / Math errors Variant 423,Unchecked cast,Token decimals not accounted correctly,Arithmetic / Math errors variant #423: Unchecked cast caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2224,Arithmetic / Math errors,Arithmetic / Math errors Variant 424,Overflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #424: Overflow caused by Reward emission uses incorrect time unit. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2225,Arithmetic / Math errors,Arithmetic / Math errors Variant 425,Unchecked cast,Interest calculation overflows at high balances,Arithmetic / Math errors variant #425: Unchecked cast caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2226,Arithmetic / Math errors,Arithmetic / Math errors Variant 426,Division by zero edge case,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #426: Division by zero edge case caused by Reward emission uses incorrect time unit. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2227,Arithmetic / Math errors,Arithmetic / Math errors Variant 427,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #427: Division by zero edge case caused by Division result truncated to zero. Exploited to incorrect reward distribution.,Incorrect reward distribution,Using block.timestamp in yearly rate without scaling.
2228,Arithmetic / Math errors,Arithmetic / Math errors Variant 428,Rounding error,Division result truncated to zero,Arithmetic / Math errors variant #428: Rounding error caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2229,Arithmetic / Math errors,Arithmetic / Math errors Variant 429,Overflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #429: Overflow caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2230,Arithmetic / Math errors,Arithmetic / Math errors Variant 430,Rounding error,Division result truncated to zero,Arithmetic / Math errors variant #430: Rounding error caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2231,Arithmetic / Math errors,Arithmetic / Math errors Variant 431,Precision truncation,Token decimals not accounted correctly,Arithmetic / Math errors variant #431: Precision truncation caused by Token decimals not accounted correctly. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2232,Arithmetic / Math errors,Arithmetic / Math errors Variant 432,Unchecked cast,Token decimals not accounted correctly,Arithmetic / Math errors variant #432: Unchecked cast caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2233,Arithmetic / Math errors,Arithmetic / Math errors Variant 433,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #433: Division by zero edge case caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2234,Arithmetic / Math errors,Arithmetic / Math errors Variant 434,Underflow,Division result truncated to zero,Arithmetic / Math errors variant #434: Underflow caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2235,Arithmetic / Math errors,Arithmetic / Math errors Variant 435,Division by zero edge case,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #435: Division by zero edge case caused by Reward emission uses incorrect time unit. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2236,Arithmetic / Math errors,Arithmetic / Math errors Variant 436,Division by zero edge case,No checked math library used,Arithmetic / Math errors variant #436: Division by zero edge case caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2237,Arithmetic / Math errors,Arithmetic / Math errors Variant 437,Underflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #437: Underflow caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2238,Arithmetic / Math errors,Arithmetic / Math errors Variant 438,Overflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #438: Overflow caused by Token decimals not accounted correctly. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2239,Arithmetic / Math errors,Arithmetic / Math errors Variant 439,Unchecked cast,Token decimals not accounted correctly,Arithmetic / Math errors variant #439: Unchecked cast caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2240,Arithmetic / Math errors,Arithmetic / Math errors Variant 440,Overflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #440: Overflow caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2241,Arithmetic / Math errors,Arithmetic / Math errors Variant 441,Precision truncation,Token decimals not accounted correctly,Arithmetic / Math errors variant #441: Precision truncation caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2242,Arithmetic / Math errors,Arithmetic / Math errors Variant 442,Division by zero edge case,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #442: Division by zero edge case caused by Reward emission uses incorrect time unit. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2243,Arithmetic / Math errors,Arithmetic / Math errors Variant 443,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #443: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2244,Arithmetic / Math errors,Arithmetic / Math errors Variant 444,Precision truncation,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #444: Precision truncation caused by Reward emission uses incorrect time unit. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2245,Arithmetic / Math errors,Arithmetic / Math errors Variant 445,Underflow,No checked math library used,Arithmetic / Math errors variant #445: Underflow caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,Using block.timestamp in yearly rate without scaling.
2246,Arithmetic / Math errors,Arithmetic / Math errors Variant 446,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #446: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2247,Arithmetic / Math errors,Arithmetic / Math errors Variant 447,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #447: Division by zero edge case caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2248,Arithmetic / Math errors,Arithmetic / Math errors Variant 448,Overflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #448: Overflow caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2249,Arithmetic / Math errors,Arithmetic / Math errors Variant 449,Overflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #449: Overflow caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2250,Arithmetic / Math errors,Arithmetic / Math errors Variant 450,Unchecked cast,Division result truncated to zero,Arithmetic / Math errors variant #450: Unchecked cast caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2251,Arithmetic / Math errors,Arithmetic / Math errors Variant 451,Precision truncation,No checked math library used,Arithmetic / Math errors variant #451: Precision truncation caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2252,Arithmetic / Math errors,Arithmetic / Math errors Variant 452,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #452: Underflow caused by Reward emission uses incorrect time unit. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2253,Arithmetic / Math errors,Arithmetic / Math errors Variant 453,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #453: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2254,Arithmetic / Math errors,Arithmetic / Math errors Variant 454,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #454: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2255,Arithmetic / Math errors,Arithmetic / Math errors Variant 455,Rounding error,Division result truncated to zero,Arithmetic / Math errors variant #455: Rounding error caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2256,Arithmetic / Math errors,Arithmetic / Math errors Variant 456,Rounding error,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #456: Rounding error caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2257,Arithmetic / Math errors,Arithmetic / Math errors Variant 457,Overflow,Division result truncated to zero,Arithmetic / Math errors variant #457: Overflow caused by Division result truncated to zero. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2258,Arithmetic / Math errors,Arithmetic / Math errors Variant 458,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #458: Division by zero edge case caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2259,Arithmetic / Math errors,Arithmetic / Math errors Variant 459,Overflow,Division result truncated to zero,Arithmetic / Math errors variant #459: Overflow caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2260,Arithmetic / Math errors,Arithmetic / Math errors Variant 460,Underflow,No checked math library used,Arithmetic / Math errors variant #460: Underflow caused by No checked math library used. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2261,Arithmetic / Math errors,Arithmetic / Math errors Variant 461,Underflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #461: Underflow caused by Interest calculation overflows at high balances. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2262,Arithmetic / Math errors,Arithmetic / Math errors Variant 462,Rounding error,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #462: Rounding error caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2263,Arithmetic / Math errors,Arithmetic / Math errors Variant 463,Overflow,Division result truncated to zero,Arithmetic / Math errors variant #463: Overflow caused by Division result truncated to zero. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2264,Arithmetic / Math errors,Arithmetic / Math errors Variant 464,Rounding error,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #464: Rounding error caused by Reward emission uses incorrect time unit. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2265,Arithmetic / Math errors,Arithmetic / Math errors Variant 465,Underflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #465: Underflow caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2266,Arithmetic / Math errors,Arithmetic / Math errors Variant 466,Precision truncation,Division result truncated to zero,Arithmetic / Math errors variant #466: Precision truncation caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2267,Arithmetic / Math errors,Arithmetic / Math errors Variant 467,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #467: Underflow caused by Reward emission uses incorrect time unit. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2268,Arithmetic / Math errors,Arithmetic / Math errors Variant 468,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #468: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2269,Arithmetic / Math errors,Arithmetic / Math errors Variant 469,Rounding error,Token decimals not accounted correctly,Arithmetic / Math errors variant #469: Rounding error caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2270,Arithmetic / Math errors,Arithmetic / Math errors Variant 470,Unchecked cast,No checked math library used,Arithmetic / Math errors variant #470: Unchecked cast caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2271,Arithmetic / Math errors,Arithmetic / Math errors Variant 471,Precision truncation,Token decimals not accounted correctly,Arithmetic / Math errors variant #471: Precision truncation caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,Using block.timestamp in yearly rate without scaling.
2272,Arithmetic / Math errors,Arithmetic / Math errors Variant 472,Underflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #472: Underflow caused by Interest calculation overflows at high balances. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2273,Arithmetic / Math errors,Arithmetic / Math errors Variant 473,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #473: Underflow caused by Reward emission uses incorrect time unit. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2274,Arithmetic / Math errors,Arithmetic / Math errors Variant 474,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #474: Division by zero edge case caused by Division result truncated to zero. Exploited to incorrect reward distribution.,Incorrect reward distribution,Reward per share exceeds uint128 limit.
2275,Arithmetic / Math errors,Arithmetic / Math errors Variant 475,Precision truncation,Token decimals not accounted correctly,Arithmetic / Math errors variant #475: Precision truncation caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2276,Arithmetic / Math errors,Arithmetic / Math errors Variant 476,Overflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #476: Overflow caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2277,Arithmetic / Math errors,Arithmetic / Math errors Variant 477,Overflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #477: Overflow caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2278,Arithmetic / Math errors,Arithmetic / Math errors Variant 478,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #478: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2279,Arithmetic / Math errors,Arithmetic / Math errors Variant 479,Underflow,Division result truncated to zero,Arithmetic / Math errors variant #479: Underflow caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2280,Arithmetic / Math errors,Arithmetic / Math errors Variant 480,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #480: Underflow caused by Reward emission uses incorrect time unit. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2281,Arithmetic / Math errors,Arithmetic / Math errors Variant 481,Underflow,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #481: Underflow caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2282,Arithmetic / Math errors,Arithmetic / Math errors Variant 482,Unchecked cast,Division result truncated to zero,Arithmetic / Math errors variant #482: Unchecked cast caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2283,Arithmetic / Math errors,Arithmetic / Math errors Variant 483,Overflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #483: Overflow caused by Interest calculation overflows at high balances. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2284,Arithmetic / Math errors,Arithmetic / Math errors Variant 484,Rounding error,Interest calculation overflows at high balances,Arithmetic / Math errors variant #484: Rounding error caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2285,Arithmetic / Math errors,Arithmetic / Math errors Variant 485,Rounding error,Division result truncated to zero,Arithmetic / Math errors variant #485: Rounding error caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2286,Arithmetic / Math errors,Arithmetic / Math errors Variant 486,Underflow,No checked math library used,Arithmetic / Math errors variant #486: Underflow caused by No checked math library used. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2287,Arithmetic / Math errors,Arithmetic / Math errors Variant 487,Overflow,Interest calculation overflows at high balances,Arithmetic / Math errors variant #487: Overflow caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2288,Arithmetic / Math errors,Arithmetic / Math errors Variant 488,Overflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #488: Overflow caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2289,Arithmetic / Math errors,Arithmetic / Math errors Variant 489,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #489: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to incorrect reward distribution.,Incorrect reward distribution,Reward per share exceeds uint128 limit.
2290,Arithmetic / Math errors,Arithmetic / Math errors Variant 490,Division by zero edge case,Division result truncated to zero,Arithmetic / Math errors variant #490: Division by zero edge case caused by Division result truncated to zero. Exploited to bypass of balance limits.,Bypass of balance limits,"Using a * b / c with large a,b causing overflow."
2291,Arithmetic / Math errors,Arithmetic / Math errors Variant 491,Unchecked cast,Division result truncated to zero,Arithmetic / Math errors variant #491: Unchecked cast caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2292,Arithmetic / Math errors,Arithmetic / Math errors Variant 492,Precision truncation,No checked math library used,Arithmetic / Math errors variant #492: Precision truncation caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2293,Arithmetic / Math errors,Arithmetic / Math errors Variant 493,Division by zero edge case,No checked math library used,Arithmetic / Math errors variant #493: Division by zero edge case caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2294,Arithmetic / Math errors,Arithmetic / Math errors Variant 494,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #494: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2295,Arithmetic / Math errors,Arithmetic / Math errors Variant 495,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #495: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2296,Arithmetic / Math errors,Arithmetic / Math errors Variant 496,Unchecked cast,Interest calculation overflows at high balances,Arithmetic / Math errors variant #496: Unchecked cast caused by Interest calculation overflows at high balances. Exploited to bypass of balance limits.,Bypass of balance limits,Reward per share exceeds uint128 limit.
2297,Arithmetic / Math errors,Arithmetic / Math errors Variant 497,Underflow,Token decimals not accounted correctly,Arithmetic / Math errors variant #497: Underflow caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2298,Arithmetic / Math errors,Arithmetic / Math errors Variant 498,Precision truncation,No checked math library used,Arithmetic / Math errors variant #498: Precision truncation caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2299,Arithmetic / Math errors,Arithmetic / Math errors Variant 499,Rounding error,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #499: Rounding error caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2300,Arithmetic / Math errors,Arithmetic / Math errors Variant 500,Rounding error,No checked math library used,Arithmetic / Math errors variant #500: Rounding error caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,Reward per share exceeds uint128 limit.
2301,Arithmetic / Math errors,Arithmetic / Math errors Variant 501,Overflow,Division result truncated to zero,Arithmetic / Math errors variant #501: Overflow caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,Reward per share exceeds uint128 limit.
2302,Arithmetic / Math errors,Arithmetic / Math errors Variant 502,Rounding error,Division result truncated to zero,Arithmetic / Math errors variant #502: Rounding error caused by Division result truncated to zero. Exploited to bypass of balance limits.,Bypass of balance limits,Reward per share exceeds uint128 limit.
2303,Arithmetic / Math errors,Arithmetic / Math errors Variant 503,Unchecked cast,No checked math library used,Arithmetic / Math errors variant #503: Unchecked cast caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2304,Arithmetic / Math errors,Arithmetic / Math errors Variant 504,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #504: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2305,Arithmetic / Math errors,Arithmetic / Math errors Variant 505,Unchecked cast,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #505: Unchecked cast caused by Reward emission uses incorrect time unit. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2306,Arithmetic / Math errors,Arithmetic / Math errors Variant 506,Overflow,No checked math library used,Arithmetic / Math errors variant #506: Overflow caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,Using block.timestamp in yearly rate without scaling.
2307,Arithmetic / Math errors,Arithmetic / Math errors Variant 507,Rounding error,Token decimals not accounted correctly,Arithmetic / Math errors variant #507: Rounding error caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2308,Arithmetic / Math errors,Arithmetic / Math errors Variant 508,Unchecked cast,Interest calculation overflows at high balances,Arithmetic / Math errors variant #508: Unchecked cast caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2309,Arithmetic / Math errors,Arithmetic / Math errors Variant 509,Division by zero edge case,No checked math library used,Arithmetic / Math errors variant #509: Division by zero edge case caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,Reward per share exceeds uint128 limit.
2310,Arithmetic / Math errors,Arithmetic / Math errors Variant 510,Division by zero edge case,No checked math library used,Arithmetic / Math errors variant #510: Division by zero edge case caused by No checked math library used. Exploited to incorrect reward distribution.,Incorrect reward distribution,Using block.timestamp in yearly rate without scaling.
2311,Arithmetic / Math errors,Arithmetic / Math errors Variant 511,Division by zero edge case,Interest calculation overflows at high balances,Arithmetic / Math errors variant #511: Division by zero edge case caused by Interest calculation overflows at high balances. Exploited to inflated token mint.,Inflated token mint,Using block.timestamp in yearly rate without scaling.
2312,Arithmetic / Math errors,Arithmetic / Math errors Variant 512,Unchecked cast,Token decimals not accounted correctly,Arithmetic / Math errors variant #512: Unchecked cast caused by Token decimals not accounted correctly. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2313,Arithmetic / Math errors,Arithmetic / Math errors Variant 513,Precision truncation,Reward emission uses incorrect time unit,Arithmetic / Math errors variant #513: Precision truncation caused by Reward emission uses incorrect time unit. Exploited to incorrect reward distribution.,Incorrect reward distribution,"Using a * b / c with large a,b causing overflow."
2314,Arithmetic / Math errors,Arithmetic / Math errors Variant 514,Underflow,Division result truncated to zero,Arithmetic / Math errors variant #514: Underflow caused by Division result truncated to zero. Exploited to locked funds due to math revert.,Locked funds due to math revert,Reward per share exceeds uint128 limit.
2315,Arithmetic / Math errors,Arithmetic / Math errors Variant 515,Division by zero edge case,Token decimals not accounted correctly,Arithmetic / Math errors variant #515: Division by zero edge case caused by Token decimals not accounted correctly. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2316,Arithmetic / Math errors,Arithmetic / Math errors Variant 516,Unchecked cast,No checked math library used,Arithmetic / Math errors variant #516: Unchecked cast caused by No checked math library used. Exploited to bypass of balance limits.,Bypass of balance limits,Using block.timestamp in yearly rate without scaling.
2317,Arithmetic / Math errors,Arithmetic / Math errors Variant 517,Rounding error,Token decimals not accounted correctly,Arithmetic / Math errors variant #517: Rounding error caused by Token decimals not accounted correctly. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
2318,Arithmetic / Math errors,Arithmetic / Math errors Variant 518,Underflow,Division result truncated to zero,Arithmetic / Math errors variant #518: Underflow caused by Division result truncated to zero. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2319,Arithmetic / Math errors,Arithmetic / Math errors Variant 519,Underflow,No checked math library used,Arithmetic / Math errors variant #519: Underflow caused by No checked math library used. Exploited to inflated token mint.,Inflated token mint,"Using a * b / c with large a,b causing overflow."
2320,Arithmetic / Math errors,Arithmetic / Math errors Variant 520,Division by zero edge case,No checked math library used,Arithmetic / Math errors variant #520: Division by zero edge case caused by No checked math library used. Exploited to locked funds due to math revert.,Locked funds due to math revert,"Using a * b / c with large a,b causing overflow."
