id,variant_name,type,pattern,scenario,impact,example
370,Reentrancy Variant 370,State-dependent reentrancy,Multiple entry points sharing same state variable,Variant #370: State-dependent reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
371,Reentrancy Variant 371,Reentrancy via delegatecall,Balance checked after transfer,Variant #371: Reentrancy via delegatecall caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
372,Reentrancy Variant 372,Cross-function reentrancy,Missing reentrancy guard,Variant #372: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
373,Reentrancy Variant 373,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #373: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
374,Reentrancy Variant 374,ERC777-hook reentrancy,State updated after external call,Variant #374: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
375,Reentrancy Variant 375,Withdraw-before-update reentrancy,State updated after external call,Variant #375: Withdraw-before-update reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
376,Reentrancy Variant 376,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #376: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
377,Reentrancy Variant 377,Reentrancy via delegatecall,Multiple entry points sharing same state variable,Variant #377: Reentrancy via delegatecall caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
378,Reentrancy Variant 378,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #378: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
379,Reentrancy Variant 379,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #379: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
380,Reentrancy Variant 380,Recursive fallback reentrancy,External call inside loop,Variant #380: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
381,Reentrancy Variant 381,Withdraw-before-update reentrancy,Multiple entry points sharing same state variable,Variant #381: Withdraw-before-update reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
382,Reentrancy Variant 382,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #382: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
383,Reentrancy Variant 383,Pull-payment reentrancy,External call inside loop,Variant #383: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
384,Reentrancy Variant 384,Single-function reentrancy,Upgradeable proxy storage collision,Variant #384: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
385,Reentrancy Variant 385,Cross-contract reentrancy,Multiple entry points sharing same state variable,Variant #385: Cross-contract reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
386,Reentrancy Variant 386,Pull-payment reentrancy,External call inside loop,Variant #386: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
387,Reentrancy Variant 387,Read-only reentrancy,Balance checked after transfer,Variant #387: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
388,Reentrancy Variant 388,ERC777-hook reentrancy,Recursive callback before mutation,Variant #388: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
389,Reentrancy Variant 389,Reentrancy via delegatecall,External call inside loop,Variant #389: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
390,Reentrancy Variant 390,Cross-contract reentrancy,Balance checked after transfer,Variant #390: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
391,Reentrancy Variant 391,Single-function reentrancy,Recursive callback before mutation,Variant #391: Single-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
392,Reentrancy Variant 392,Recursive fallback reentrancy,Missing reentrancy guard,Variant #392: Recursive fallback reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
393,Reentrancy Variant 393,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #393: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
394,Reentrancy Variant 394,Single-function reentrancy,Missing reentrancy guard,Variant #394: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
395,Reentrancy Variant 395,Cross-function reentrancy,Balance checked after transfer,Variant #395: Cross-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
396,Reentrancy Variant 396,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #396: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
397,Reentrancy Variant 397,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #397: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
398,Reentrancy Variant 398,State-dependent reentrancy,State updated after external call,Variant #398: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
399,Reentrancy Variant 399,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #399: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
400,Reentrancy Variant 400,Withdraw-before-update reentrancy,External call inside loop,Variant #400: Withdraw-before-update reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
401,Reentrancy Variant 401,Single-function reentrancy,Fallback invoked before state lock,Variant #401: Single-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
402,Reentrancy Variant 402,Read-only reentrancy,Missing reentrancy guard,Variant #402: Read-only reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
403,Reentrancy Variant 403,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #403: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
404,Reentrancy Variant 404,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #404: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
405,Reentrancy Variant 405,Recursive fallback reentrancy,State updated after external call,Variant #405: Recursive fallback reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
406,Reentrancy Variant 406,Recursive fallback reentrancy,Recursive callback before mutation,Variant #406: Recursive fallback reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
407,Reentrancy Variant 407,Single-function reentrancy,Missing reentrancy guard,Variant #407: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
408,Reentrancy Variant 408,Reentrancy via delegatecall,Hooks triggered without control flow guard,Variant #408: Reentrancy via delegatecall caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
409,Reentrancy Variant 409,Recursive fallback reentrancy,External call inside loop,Variant #409: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
410,Reentrancy Variant 410,Read-only reentrancy,Hooks triggered without control flow guard,Variant #410: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
411,Reentrancy Variant 411,Withdraw-before-update reentrancy,Unsafe external call to attacker contract,Variant #411: Withdraw-before-update reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
412,Reentrancy Variant 412,Single-function reentrancy,Upgradeable proxy storage collision,Variant #412: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
413,Reentrancy Variant 413,Reentrancy via delegatecall,Recursive callback before mutation,Variant #413: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
414,Reentrancy Variant 414,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #414: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
415,Reentrancy Variant 415,Read-only reentrancy,Fallback invoked before state lock,Variant #415: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
416,Reentrancy Variant 416,ERC777-hook reentrancy,State updated after external call,Variant #416: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
417,Reentrancy Variant 417,ERC777-hook reentrancy,Balance checked after transfer,Variant #417: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
418,Reentrancy Variant 418,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #418: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
419,Reentrancy Variant 419,Cross-contract reentrancy,Hooks triggered without control flow guard,Variant #419: Cross-contract reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
420,Reentrancy Variant 420,Cross-function reentrancy,Recursive callback before mutation,Variant #420: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
421,Reentrancy Variant 421,Single-function reentrancy,State updated after external call,Variant #421: Single-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
422,Reentrancy Variant 422,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #422: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
423,Reentrancy Variant 423,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #423: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
424,Reentrancy Variant 424,Recursive fallback reentrancy,External call inside loop,Variant #424: Recursive fallback reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Vault updates shares after sending tokens to attacker contract.
425,Reentrancy Variant 425,Recursive fallback reentrancy,Recursive callback before mutation,Variant #425: Recursive fallback reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
426,Reentrancy Variant 426,Read-only reentrancy,Hooks triggered without control flow guard,Variant #426: Read-only reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
427,Reentrancy Variant 427,Cross-contract reentrancy,Fallback invoked before state lock,Variant #427: Cross-contract reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
428,Reentrancy Variant 428,Cross-contract reentrancy,Missing reentrancy guard,Variant #428: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
429,Reentrancy Variant 429,Reentrancy via delegatecall,Missing reentrancy guard,Variant #429: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
430,Reentrancy Variant 430,Recursive fallback reentrancy,Upgradeable proxy storage collision,Variant #430: Recursive fallback reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
431,Reentrancy Variant 431,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #431: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
432,Reentrancy Variant 432,Pull-payment reentrancy,Multiple entry points sharing same state variable,Variant #432: Pull-payment reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
433,Reentrancy Variant 433,Read-only reentrancy,Unsafe external call to attacker contract,Variant #433: Read-only reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
434,Reentrancy Variant 434,Cross-function reentrancy,State updated after external call,Variant #434: Cross-function reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
435,Reentrancy Variant 435,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #435: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
436,Reentrancy Variant 436,ERC777-hook reentrancy,External call inside loop,Variant #436: ERC777-hook reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
437,Reentrancy Variant 437,Reentrancy via delegatecall,External call inside loop,Variant #437: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
438,Reentrancy Variant 438,ERC777-hook reentrancy,Hooks triggered without control flow guard,Variant #438: ERC777-hook reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
439,Reentrancy Variant 439,Pull-payment reentrancy,Balance checked after transfer,Variant #439: Pull-payment reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
440,Reentrancy Variant 440,Pull-payment reentrancy,Missing reentrancy guard,Variant #440: Pull-payment reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
441,Reentrancy Variant 441,Single-function reentrancy,Balance checked after transfer,Variant #441: Single-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
442,Reentrancy Variant 442,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #442: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
443,Reentrancy Variant 443,Withdraw-before-update reentrancy,Balance checked after transfer,Variant #443: Withdraw-before-update reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
444,Reentrancy Variant 444,Pull-payment reentrancy,Recursive callback before mutation,Variant #444: Pull-payment reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
445,Reentrancy Variant 445,Read-only reentrancy,External call inside loop,Variant #445: Read-only reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
446,Reentrancy Variant 446,Cross-function reentrancy,Recursive callback before mutation,Variant #446: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
447,Reentrancy Variant 447,Reentrancy via delegatecall,Recursive callback before mutation,Variant #447: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
448,Reentrancy Variant 448,Reentrancy via delegatecall,State updated after external call,Variant #448: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
449,Reentrancy Variant 449,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #449: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
450,Reentrancy Variant 450,Recursive fallback reentrancy,Balance checked after transfer,Variant #450: Recursive fallback reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
451,Reentrancy Variant 451,Cross-contract reentrancy,Missing reentrancy guard,Variant #451: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,Attacker leverages ERC777 tokens to reenter before balance is updated.
452,Reentrancy Variant 452,Pull-payment reentrancy,Multiple entry points sharing same state variable,Variant #452: Pull-payment reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
453,Reentrancy Variant 453,Cross-function reentrancy,Missing reentrancy guard,Variant #453: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
454,Reentrancy Variant 454,Cross-contract reentrancy,Missing reentrancy guard,Variant #454: Cross-contract reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
455,Reentrancy Variant 455,Recursive fallback reentrancy,Unsafe external call to attacker contract,Variant #455: Recursive fallback reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
456,Reentrancy Variant 456,Cross-function reentrancy,Recursive callback before mutation,Variant #456: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Cross-function: deposit() sets state after external token transfer().
457,Reentrancy Variant 457,State-dependent reentrancy,Hooks triggered without control flow guard,Variant #457: State-dependent reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
458,Reentrancy Variant 458,Single-function reentrancy,Fallback invoked before state lock,Variant #458: Single-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
459,Reentrancy Variant 459,Cross-contract reentrancy,Balance checked after transfer,Variant #459: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
460,Reentrancy Variant 460,State-dependent reentrancy,External call inside loop,Variant #460: State-dependent reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
461,Reentrancy Variant 461,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #461: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
462,Reentrancy Variant 462,Cross-function reentrancy,Recursive callback before mutation,Variant #462: Cross-function reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
463,Reentrancy Variant 463,Withdraw-before-update reentrancy,Upgradeable proxy storage collision,Variant #463: Withdraw-before-update reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
464,Reentrancy Variant 464,Pull-payment reentrancy,External call inside loop,Variant #464: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
465,Reentrancy Variant 465,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #465: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
466,Reentrancy Variant 466,Cross-contract reentrancy,Recursive callback before mutation,Variant #466: Cross-contract reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
467,Reentrancy Variant 467,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #467: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
468,Reentrancy Variant 468,Cross-function reentrancy,External call inside loop,Variant #468: Cross-function reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
469,Reentrancy Variant 469,Single-function reentrancy,Missing reentrancy guard,Variant #469: Single-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
470,Reentrancy Variant 470,Read-only reentrancy,Fallback invoked before state lock,Variant #470: Read-only reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Vault updates shares after sending tokens to attacker contract.
471,Reentrancy Variant 471,Pull-payment reentrancy,Balance checked after transfer,Variant #471: Pull-payment reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
472,Reentrancy Variant 472,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #472: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
473,Reentrancy Variant 473,Single-function reentrancy,Hooks triggered without control flow guard,Variant #473: Single-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
474,Reentrancy Variant 474,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #474: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
475,Reentrancy Variant 475,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #475: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
476,Reentrancy Variant 476,ERC777-hook reentrancy,Recursive callback before mutation,Variant #476: ERC777-hook reentrancy caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
477,Reentrancy Variant 477,ERC777-hook reentrancy,State updated after external call,Variant #477: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
478,Reentrancy Variant 478,Recursive fallback reentrancy,Missing reentrancy guard,Variant #478: Recursive fallback reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
479,Reentrancy Variant 479,State-dependent reentrancy,Multiple entry points sharing same state variable,Variant #479: State-dependent reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
480,Reentrancy Variant 480,Read-only reentrancy,Balance checked after transfer,Variant #480: Read-only reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
481,Reentrancy Variant 481,ERC777-hook reentrancy,Balance checked after transfer,Variant #481: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
482,Reentrancy Variant 482,ERC777-hook reentrancy,Balance checked after transfer,Variant #482: ERC777-hook reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
483,Reentrancy Variant 483,Recursive fallback reentrancy,Fallback invoked before state lock,Variant #483: Recursive fallback reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
484,Reentrancy Variant 484,Cross-contract reentrancy,Unsafe external call to attacker contract,Variant #484: Cross-contract reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
485,Reentrancy Variant 485,Cross-contract reentrancy,External call inside loop,Variant #485: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
